date,precipitation,precipitation_normal
19480906,0.00,2.87
19480907,0.00,2.88
19480908,0.00,2.89
19480909,0.00,2.90
19480910,0.00,2.92
19480911,0.00,2.93
19480912,0.00,2.94
19480913,0.00,2.95
19480914,0.00,2.96
19480915,0.00,2.98
19480916,T,2.99
19480917,T,3.00
19480918,T,3.01
19480919,T,3.02
19480920,T,3.03
19480921,T,3.04
19480922,T,3.05
19480923,T,3.06
19480924,T,3.07
19480925,T,3.08
19480926,T,3.08
19480927,T,3.09
19480928,T,3.10
19480929,T,3.10
19480930,T,3.11
19481001,T,3.12
19481002,T,3.12
19481003,T,3.13
19481004,T,3.14
19481005,T,3.15
19481006,T,3.16
19481007,T,3.17
19481008,T,3.18
19481009,T,3.19
19481010,T,3.20
19481011,T,3.21
19481012,T,3.22
19481013,T,3.23
19481014,T,3.24
19481015,T,3.26
19481016,T,3.27
19481017,T,3.28
19481018,0.01,3.29
19481019,0.01,3.30
19481020,0.01,3.31
19481021,0.01,3.32
19481022,0.01,3.33
19481023,0.01,3.34
19481024,0.01,3.36
19481025,0.01,3.37
19481026,0.01,3.38
19481027,0.01,3.39
19481028,0.01,3.40
19481029,0.01,3.41
19481030,0.01,3.42
19481031,0.01,3.43
19481101,0.01,3.44
19481102,0.01,3.45
19481103,0.01,3.46
19481104,0.01,3.46
19481105,0.01,3.47
19481106,0.01,3.48
19481107,0.01,3.49
19481108,0.01,3.50
19481109,0.01,3.51
19481110,0.01,3.52
19481111,0.01,3.52
19481112,0.01,3.53
19481113,0.01,3.54
19481114,0.01,3.55
19481115,0.01,3.56
19481116,0.01,3.57
19481117,0.01,3.58
19481118,0.01,3.59
19481119,0.01,3.60
19481120,0.01,3.61
19481121,0.01,3.62
19481122,0.01,3.63
19481123,0.01,3.65
19481124,0.01,3.66
19481125,0.01,3.67
19481126,0.01,3.68
19481127,0.01,3.69
19481128,0.01,3.71
19481129,0.01,3.72
19481130,0.01,3.73
19481201,0.01,3.74
19481202,0.01,3.75
19481203,0.01,3.77
19481204,0.01,3.78
19481205,0.01,3.79
19481206,0.01,3.80
19481207,0.01,3.81
19481208,0.01,3.82
19481209,0.01,3.83
19481210,0.01,3.85
19481211,0.01,3.86
19481212,0.01,3.87
19481213,0.01,3.88
19481214,0.01,3.90
19481215,0.01,3.91
19481216,0.01,3.93
19481217,0.01,3.94
19481218,0.01,3.96
19481219,0.01,3.97
19481220,0.01,3.98
19481221,0.01,4.00
19481222,0.04,4.02
19481223,0.05,4.03
19481224,0.05,4.05
19481225,0.05,4.07
19481226,0.05,4.08
19481227,0.30,4.10
19481228,0.30,4.12
19481229,0.30,4.14
19481230,0.30,4.16
19481231,0.30,4.18
19490101,0.00,0.02
19490102,0.10,0.04
19490103,0.10,0.06
19490104,0.10,0.08
19490105,0.10,0.10
19490106,0.10,0.12
19490107,0.10,0.14
19490108,0.10,0.16
19490109,0.11,0.18
19490110,0.44,0.20
19490111,0.73,0.22
19490112,1.38,0.23
19490113,1.78,0.25
19490114,1.78,0.27
19490115,1.78,0.29
19490116,1.78,0.31
19490117,1.78,0.33
19490118,1.78,0.35
19490119,1.84,0.36
19490120,1.97,0.38
19490121,1.99,0.39
19490122,2.02,0.41
19490123,2.02,0.43
19490124,2.02,0.44
19490125,2.41,0.46
19490126,2.41,0.47
19490127,2.41,0.49
19490128,2.41,0.51
19490129,2.41,0.52
19490130,2.41,0.54
19490131,2.41,0.56
19490201,2.41,0.58
19490202,2.41,0.60
19490203,2.41,0.63
19490204,2.41,0.65
19490205,2.41,0.67
19490206,2.41,0.69
19490207,2.41,0.72
19490208,2.41,0.75
19490209,2.41,0.77
19490210,2.41,0.80
19490211,2.41,0.83
19490212,2.41,0.85
19490213,2.41,0.88
19490214,2.41,0.92
19490215,2.41,0.95
19490216,2.41,0.98
19490217,2.41,1.01
19490218,2.41,1.05
19490219,2.41,1.08
19490220,2.41,1.11
19490221,2.41,1.14
19490222,2.41,1.18
19490223,2.41,1.21
19490224,2.41,1.24
19490225,2.41,1.27
19490226,2.41,1.30
19490227,3.02,1.33
19490228,3.03,1.36
19490301,3.03,1.38
19490302,3.03,1.40
19490303,3.03,1.42
19490304,3.03,1.44
19490305,3.03,1.46
19490306,3.03,1.48
19490307,3.03,1.50
19490308,3.03,1.52
19490309,3.03,1.53
19490310,3.03,1.55
19490311,3.03,1.56
19490312,3.03,1.58
19490313,3.03,1.59
19490314,3.03,1.61
19490315,3.03,1.62
19490316,3.03,1.63
19490317,3.03,1.64
19490318,3.03,1.65
19490319,3.03,1.66
19490320,3.03,1.68
19490321,3.03,1.69
19490322,3.03,1.70
19490323,3.03,1.71
19490324,3.03,1.72
19490325,3.03,1.73
19490326,3.03,1.74
19490327,3.03,1.74
19490328,3.03,1.75
19490329,3.03,1.76
19490330,3.03,1.77
19490331,3.34,1.78
19490401,3.34,1.79
19490402,3.34,1.80
19490403,3.34,1.81
19490404,3.34,1.82
19490405,3.34,1.83
19490406,3.34,1.84
19490407,3.41,1.85
19490408,3.41,1.85
19490409,3.41,1.86
19490410,3.41,1.87
19490411,3.41,1.88
19490412,3.41,1.88
19490413,3.41,1.89
19490414,3.41,1.89
19490415,3.41,1.90
19490416,3.41,1.90
19490417,3.41,1.91
19490418,3.41,1.92
19490419,3.42,1.92
19490420,3.42,1.93
19490421,3.42,1.93
19490422,3.42,1.94
19490423,3.42,1.94
19490424,3.42,1.95
19490425,3.42,1.95
19490426,3.42,1.96
19490427,3.42,1.96
19490428,3.42,1.97
19490429,3.42,1.98
19490430,3.42,1.98
19490501,3.42,1.98
19490502,3.42,1.99
19490503,3.42,1.99
19490504,3.42,1.99
19490505,3.42,2.00
19490506,3.42,2.00
19490507,3.42,2.00
19490508,3.42,2.01
19490509,3.42,2.01
19490510,3.42,2.01
19490511,3.42,2.02
19490512,3.42,2.02
19490513,3.42,2.02
19490514,3.42,2.02
19490515,3.51,2.03
19490516,3.65,2.03
19490517,3.66,2.03
19490518,3.66,2.03
19490519,3.71,2.03
19490520,3.71,2.03
19490521,3.71,2.04
19490522,3.71,2.04
19490523,3.71,2.04
19490524,3.71,2.04
19490525,3.71,2.04
19490526,3.71,2.04
19490527,3.71,2.05
19490528,3.71,2.05
19490529,3.71,2.05
19490530,3.71,2.05
19490531,3.71,2.05
19490601,3.71,2.05
19490602,3.71,2.05
19490603,3.72,2.05
19490604,3.72,2.05
19490605,3.77,2.05
19490606,3.77,2.06
19490607,3.77,2.06
19490608,3.77,2.06
19490609,3.77,2.06
19490610,3.77,2.06
19490611,3.77,2.06
19490612,3.78,2.06
19490613,3.78,2.06
19490614,3.78,2.06
19490615,3.78,2.06
19490616,3.78,2.06
19490617,3.78,2.06
19490618,3.78,2.06
19490619,3.78,2.06
19490620,3.78,2.06
19490621,3.78,2.07
19490622,3.78,2.07
19490623,3.78,2.07
19490624,3.78,2.07
19490625,3.78,2.07
19490626,3.78,2.08
19490627,3.78,2.08
19490628,3.78,2.08
19490629,3.78,2.09
19490630,3.78,2.09
19490701,3.78,2.10
19490702,3.78,2.11
19490703,3.78,2.11
19490704,3.94,2.12
19490705,3.94,2.13
19490706,3.94,2.14
19490707,3.94,2.15
19490708,3.94,2.17
19490709,3.94,2.18
19490710,3.94,2.19
19490711,3.94,2.20
19490712,3.94,2.21
19490713,3.94,2.23
19490714,3.94,2.24
19490715,3.94,2.25
19490716,3.94,2.27
19490717,3.94,2.28
19490718,3.94,2.30
19490719,3.94,2.31
19490720,3.94,2.32
19490721,3.94,2.34
19490722,3.94,2.35
19490723,3.94,2.37
19490724,3.94,2.38
19490725,3.94,2.39
19490726,3.94,2.40
19490727,3.94,2.42
19490728,3.94,2.43
19490729,3.94,2.44
19490730,3.94,2.46
19490731,4.01,2.47
19490801,4.01,2.48
19490802,4.01,2.49
19490803,4.01,2.50
19490804,4.01,2.51
19490805,4.01,2.52
19490806,4.01,2.53
19490807,4.01,2.54
19490808,4.01,2.55
19490809,4.01,2.56
19490810,4.01,2.57
19490811,4.01,2.58
19490812,4.01,2.59
19490813,4.01,2.60
19490814,4.01,2.61
19490815,4.01,2.62
19490816,4.01,2.63
19490817,4.01,2.64
19490818,4.01,2.65
19490819,4.01,2.66
19490820,4.01,2.67
19490821,4.01,2.68
19490822,4.24,2.69
19490823,4.26,2.70
19490824,4.26,2.71
19490825,4.26,2.72
19490826,4.26,2.73
19490827,4.26,2.74
19490828,4.26,2.75
19490829,4.26,2.77
19490830,4.26,2.78
19490831,4.26,2.79
19490901,4.26,2.80
19490902,4.26,2.82
19490903,4.26,2.83
19490904,4.26,2.84
19490905,4.26,2.86
19490906,4.26,2.87
19490907,4.26,2.88
19490908,4.26,2.89
19490909,4.26,2.90
19490910,4.26,2.92
19490911,4.26,2.93
19490912,4.26,2.94
19490913,4.26,2.95
19490914,4.26,2.96
19490915,4.26,2.98
19490916,4.26,2.99
19490917,4.26,3.00
19490918,4.26,3.01
19490919,4.26,3.02
19490920,4.26,3.03
19490921,4.26,3.04
19490922,4.26,3.05
19490923,4.26,3.06
19490924,4.26,3.07
19490925,4.26,3.08
19490926,4.26,3.08
19490927,4.26,3.09
19490928,4.26,3.10
19490929,4.26,3.10
19490930,4.26,3.11
19491001,4.26,3.12
19491002,4.26,3.12
19491003,4.26,3.13
19491004,4.26,3.14
19491005,4.26,3.15
19491006,4.26,3.16
19491007,4.26,3.17
19491008,4.28,3.18
19491009,4.28,3.19
19491010,4.28,3.20
19491011,4.28,3.21
19491012,4.28,3.22
19491013,4.28,3.23
19491014,4.28,3.24
19491015,4.28,3.26
19491016,4.28,3.27
19491017,4.28,3.28
19491018,4.28,3.29
19491019,4.28,3.30
19491020,4.28,3.31
19491021,4.28,3.32
19491022,4.28,3.33
19491023,4.28,3.34
19491024,4.28,3.36
19491025,4.28,3.37
19491026,4.28,3.38
19491027,4.28,3.39
19491028,4.28,3.40
19491029,4.28,3.41
19491030,4.28,3.42
19491031,4.28,3.43
19491101,4.28,3.44
19491102,4.28,3.45
19491103,4.28,3.46
19491104,4.28,3.46
19491105,4.28,3.47
19491106,4.28,3.48
19491107,4.28,3.49
19491108,4.28,3.50
19491109,4.28,3.51
19491110,4.29,3.52
19491111,4.29,3.52
19491112,4.29,3.53
19491113,4.29,3.54
19491114,4.29,3.55
19491115,4.29,3.56
19491116,4.29,3.57
19491117,4.29,3.58
19491118,4.29,3.59
19491119,4.29,3.60
19491120,4.29,3.61
19491121,4.29,3.62
19491122,4.29,3.63
19491123,4.29,3.65
19491124,4.29,3.66
19491125,4.29,3.67
19491126,4.29,3.68
19491127,4.29,3.69
19491128,4.29,3.71
19491129,4.29,3.72
19491130,4.29,3.73
19491201,4.29,3.74
19491202,4.29,3.75
19491203,4.29,3.77
